disease,compound,n_disease_genes,Z,I_T,mu_T,sigma_T,k,pool_size,mean_rho
alzheimer,Hyperforin,31,-0.13746764899943725,0.027667534249909104,0.044765032971051597,0.1243747081265097,10,852,0.7930559876677686
alzheimer,Quercetin,31,2.2031443178673173,0.6860077286944805,0.44960210297527653,0.10730374029607319,62,4575,0.5902098892205397
cancer,Hyperforin,40,0.019729820854855185,0.09777024998138939,0.09531218959674659,0.12458604681339078,10,840,0.7949438235467167
cancer,Quercetin,40,8.12581897727536,2.0426326766325653,1.1831632305712643,0.10577019356016798,62,4456,0.5731590584245068
cvd,Hyperforin,39,-0.5124648692069789,0.07889818211116914,0.11750430288903567,0.07533418015094015,10,835,0.2863611580916231
cvd,Quercetin,39,4.123552166802706,1.1513981678038383,0.7554321392529777,0.09602546846348793,62,4427,0.4718317739364826
dili,Hyperforin,82,10.145834871772964,1.1380960715122488,0.5779358760002089,0.055210852787529456,10,552,0.13285733965689903
dili,Quercetin,82,4.840151172384966,1.994615267243535,1.626356437818473,0.07608415859532007,62,3606,0.2956508499674755
t2d,Hyperforin,20,0.022248661756132028,0.0251465351797117,0.022388635121328944,0.12395801997496067,10,847,0.7873218475462657
t2d,Quercetin,20,-0.16950626038300942,0.14375056024992616,0.16359620561626242,0.1170791292397924,62,4458,0.7028549482168378
