subset,n,dili_pos,dili_neg,mean_z_pos,mean_z_neg,auc
Overall,456,305,151,0.7761434249366267,0.28028102421210865,0.5755184019107589
pool_1-100,13,10,3,0.45325804787764257,0.38388415855328223,0.5666666666666667
pool_101-300,291,188,103,0.8044952137880912,0.12848348472864426,0.5809491840528815
pool_301-600,112,78,34,0.7280557736659267,0.7764885103571659,0.49924585218702866
pool_601+,40,29,11,0.8330246065100444,0.1396703546522325,0.6332288401253918
k_1-2,178,116,62,0.5967595181681025,0.3061618697797389,0.5512374860956619
k_3-5,147,102,45,0.8566126726233644,0.09121792716877795,0.6034858387799564
k_6-10,75,48,27,1.19583500007722,0.3588289038246953,0.6793981481481481
k_11+,56,39,17,0.5826940483815787,0.5616006825778128,0.4720965309200603
