drugbank_id,drug_name,n_targets,dili_label,is_dili,Z,I_T,mu_T,pool_size
DB00005,Etanercept,5,Most-DILI,1,-0.5861925903926393,0.1761218739362929,0.23232985503877818,584
DB00197,Troglitazone,7,Most-DILI,1,3.5529257386319064,0.6353364660400564,0.348222174126044,881
DB00227,Lovastatin,3,Most-DILI,1,-0.08132224717986206,0.0360992402362532,0.04326478481632834,220
DB00252,Phenytoin,3,Most-DILI,1,2.1147835686425194,0.2269394192930013,0.045576303700509344,474
DB00313,Valproic acid,13,Most-DILI,1,-0.3613267959605603,0.41344465329724567,0.439491555056262,1450
DB00316,Acetaminophen,3,Most-DILI,1,1.7853803690737746,0.2817927957968599,0.12617650620603912,404
DB00328,Indomethacin,7,Less-DILI,1,4.917098209516696,0.6376598103458218,0.34072264542373354,532
DB00331,Metformin,4,No-DILI,0,-0.008942866717544616,0.033225323974772805,0.03411789904745194,504
DB00390,Digoxin,4,No-DILI,0,0.0019981265450498696,0.0288441453267431,0.0285623850995487,264
DB00412,Rosiglitazone,6,Most-DILI,1,0.6412102694473067,0.3734096555525367,0.29797203694732083,756
DB00421,Spironolactone,5,No-DILI,0,1.5604968919779756,0.2861370775919089,0.13633804047445652,518
DB00451,Levothyroxine,3,No-DILI,0,-0.4629229936251701,0.074815640256896,0.1138920538543762,432
DB00457,Prazosin,4,Less-DILI,1,-0.004732043808638249,0.0533558614397954,0.05402342461822913,244
DB00477,Chlorpromazine,6,Most-DILI,1,0.34649956584575986,0.15954904751838492,0.12749817222614698,679
DB00482,Celecoxib,5,Less-DILI,1,1.924041418404765,0.2843974984912348,0.11663948373534655,708
DB00563,Methotrexate,4,Most-DILI,1,-0.03739330265848838,0.07069736676331399,0.07546580526580271,500
DB00605,Sulindac,5,Most-DILI,1,1.0792357146376266,0.3257253895842966,0.24602017123982428,530
DB00627,Niacin,3,Most-DILI,1,1.2570422170208162,0.2362370190847678,0.12909744336539747,442
DB00641,Simvastatin,3,Most-DILI,1,-0.08132224717986206,0.0360992402362532,0.04326478481632834,220
DB00661,Verapamil,4,Less-DILI,1,1.748022730414196,0.25225177270519783,0.10192693003661844,470
DB00675,Tamoxifen,7,Most-DILI,1,3.8524931453044755,0.4742084242571975,0.18508528673726524,534
DB00687,Fludrocortisone,3,No-DILI,0,-0.1539015617186342,0.057999179535374,0.07561984760201534,492
DB00822,Disulfiram,3,Less-DILI,1,-0.14357942161122483,0.07317174191539311,0.09325998941970406,386
DB00951,Isoniazid,4,Most-DILI,1,1.1251618831964567,0.5338811973641606,0.3957358142820449,178
DB01016,Glyburide,5,No-DILI,0,0.9214189286076707,0.2127897206627368,0.16754411327062602,839
DB01017,Minocycline,6,Most-DILI,1,-1.9590203520896825,0.23497954174318522,0.36591740143746804,362
DB01026,Ketoconazole,5,Most-DILI,1,4.504295718388047,0.550783943821743,0.2806150055178357,562
DB01033,Mercaptopurine,4,Most-DILI,1,-0.025854876837169197,0.0618980577299564,0.06504789297685973,451
DB01050,Ibuprofen,6,Most-DILI,1,4.996766241496655,0.7112409327099165,0.42668988537517816,356
DB01076,Atorvastatin,5,Most-DILI,1,4.412143468167087,0.4743317639775907,0.2562181123734055,607
DB01097,Leflunomide,3,Most-DILI,1,3.1617557729122137,0.2279502379866373,0.10313473355464967,451
DB01109,Heparin,6,No-DILI,0,0.45278826747346196,0.2466113961311704,0.20464940314964605,1016
DB01115,Nifedipine,3,Less-DILI,1,3.16632157744817,0.2198180944902292,0.05272378250443722,239
DB01118,Amiodarone,3,Most-DILI,1,0.926684687723624,0.2291727449394077,0.14067894545078682,369
DB01159,Halothane,4,Most-DILI,1,-0.00010639116374184593,0.0396906796157055,0.039702101250664965,539
DB01225,Enoxaparin,3,No-DILI,0,0.4283613401692558,0.2800550362127195,0.21935484809198663,331
DB01234,Dexamethasone,3,No-DILI,0,2.9547881830709155,0.2599875055902337,0.11448138635268985,376
DB01275,Hydralazine,3,Less-DILI,1,-0.3042304366596409,0.061481324607169804,0.07919227540953713,453
DB01406,Danazol,3,Most-DILI,1,1.1785952866975673,0.2621738211874455,0.16237738470588542,296
